net,length_um
Mux.r4\[11\],7.44
_0530_,7.42
_0323_,7.4
_0152_,7.385
buswires[7],7.35
_0274_,7.34
_0362_,7.34
_0443_,7.34
_0245_,7.22
_0688_,7.22
_0931_,7.22
Mux.r1\[0\],7.2
_0695_,7.2
Mux.r4\[4\],7.18
_0247_,7.18
_0665_,7.18
_0026_,7.165
_0097_,7.165
_0140_,7.145
Mux.r4\[10\],7.12
_0261_,7.12
_0273_,7.12
_0509_,7.12
_0648_,7.12
_0704_,7.12
Mux.r2\[0\],7.1
_0840_,7.1
_0910_,7.1
net96,7.1
_0776_,7.08
_0235_,7.06
_0200_,7.04
_0303_,7
_0817_,7
_0750_,6.98
_0903_,6.98
_0583_,6.94
Mux.r6\[7\],6.86
_0406_,6.86
_0031_,6.825
din[10],6.77
Mux.r7\[8\],6.76
_0218_,6.76
_0858_,6.76
_0906_,6.76
net75,6.76
net98,6.76
Mux.r1\[3\],6.74
Mux.r3\[5\],6.74
Mux.r6\[9\],6.74
_0252_,6.74
_0470_,6.74
Control_unit_module.IR\[8\],6.72
_0217_,6.72
_0238_,6.72
_0117_,6.685
Mux.r6\[2\],6.66
Mux.r3\[4\],6.64
_0203_,6.64
_0454_,6.64
_0494_,6.64
_0907_,6.64
_0911_,6.64
_0937_,6.64
Mux.r1\[12\],6.62
_0525_,6.62
_0350_,6.6
_0402_,6.6
_0932_,6.6
_0951_,6.6
_0229_,6.58
Mux.r7\[10\],6.52
_0823_,6.52
din[11],6.43
din[3],6.43
Mux.r4\[14\],6.4
net88,6.4
Mux.r3\[6\],6.38
_0778_,6.38
net63,6.38
_0127_,6.365
_0139_,6.345
_0551_,6.32
Mux.r0\[9\],6.3
Mux.r6\[10\],6.3
_0180_,6.3
_0457_,6.3
_0872_,6.3
Mux.r0\[0\],6.28
Mux.r7\[11\],6.28
_0411_,6.28
_0821_,6.28
_0221_,6.26
_0228_,6.26
_0677_,6.26
_0800_,6.26
net65,6.26
buswires[2],6.21
buswires[3],6.21
buswires[8],6.21
Mux.r1\[9\],6.2
_0266_,6.2
_0392_,6.2
Mux.r2\[1\],6.18
Mux.r5\[7\],6.18
_0283_,6.18
_0638_,6.18
_0769_,6.18
_0893_,6.18
_0909_,6.18
_0377_,6.16
Mux.r2\[13\],6.14
_0267_,6.14
_0448_,6.14
_0464_,6.14
_0835_,6.14
_0926_,6.14
_0279_,6.06
_0905_,6.06
Mux.r5\[6\],5.96
Mux.r1\[4\],5.94
Mux.r7\[0\],5.94
_0364_,5.94
buswires[0],5.87
ALU_16bit.aluout\[3\],5.86
Mux.r3\[1\],5.86
_0259_,5.86
_0340_,5.86
_0421_,5.86
_0432_,5.86
Mux.r0\[7\],5.84
Mux.r2\[11\],5.84
Mux.r2\[12\],5.84
Mux.r5\[2\],5.84
_0219_,5.84
_0481_,5.84
_0713_,5.84
net57,5.84
Mux.r4\[12\],5.8
Mux.r6\[1\],5.8
_0465_,5.8
_0914_,5.8
net73,5.8
net80,5.8
_0122_,5.765
Mux.r6\[0\],5.74
_0216_,5.72
_0260_,5.72
_0714_,5.72
_0717_,5.72
_0871_,5.72
_0956_,5.72
_0232_,5.7
_0224_,5.68
_0403_,5.68
_0456_,5.68
_0575_,5.68
_0599_,5.68
_0745_,5.68
_0865_,5.68
_0868_,5.68
_0929_,5.68
net90,5.68
_0012_,5.645
_0413_,5.62
_0757_,5.62
Mux.r0\[13\],5.6
Mux.r7\[13\],5.6
_0802_,5.56
_0060_,5.545
buswires[9],5.53
Mux.r1\[6\],5.48
_0446_,5.48
net83,5.44
_0516_,5.4
_0780_,5.4
Mux.r7\[6\],5.38
_0498_,5.38
_0507_,5.38
_0838_,5.38
_0876_,5.38
_0877_,5.38
_0930_,5.38
_0950_,5.38
net56,5.38
net66,5.38
net68,5.38
